order_item_id,order_id,sku_id,quantity,price_per_unit,Discount
OI0000001,ORD0000001,SKU00386,1,220.74,25
OI0000002,ORD0000002,SKU00293,2,144.31,15
OI0000003,ORD0000002,SKU00084,1,579.85,5
OI0000004,ORD0000003,SKU00001,1,370.49,0
OI0000005,ORD0000004,SKU00010,1,282.34,0
OI0000006,ORD0000004,SKU00205,1,265.72,20
OI0000007,ORD0000004,SKU00256,1,174.27,5
OI0000008,ORD0000005,SKU00269,1,196.79,0
OI0000009,ORD0000006,SKU00057,1,146.43,0
OI0000010,ORD0000006,SKU00396,1,55.25,0
OI0000011,ORD0000006,SKU00224,1,370.37,0
OI0000012,ORD0000006,SKU00395,2,239.07,15
OI0000013,ORD0000007,SKU00041,1,128.05,0
OI0000014,ORD0000008,SKU00326,1,116.37,0
OI0000015,ORD0000008,SKU00389,1,226.8,0
OI0000016,ORD0000009,SKU00341,1,230.25,10
OI0000017,ORD0000009,SKU00196,1,136.21,0
OI0000018,ORD0000009,SKU00084,1,579.85,10
OI0000019,ORD0000009,SKU00310,1,480.23,0
OI0000020,ORD0000010,SKU00146,3,48.94,0
OI0000021,ORD0000010,SKU00392,1,101.28,0
OI0000022,ORD0000011,SKU00278,1,119.24,0
OI0000023,ORD0000011,SKU00189,1,81.27,0
OI0000024,ORD0000012,SKU00225,1,91.23,0
OI0000025,ORD0000013,SKU00129,1,186.55,0
OI0000026,ORD0000013,SKU00099,1,363.35,0
OI0000027,ORD0000013,SKU00042,1,110.7,0
OI0000028,ORD0000014,SKU00317,1,119.81,0
OI0000029,ORD0000015,SKU00042,1,110.7,0
OI0000030,ORD0000015,SKU00292,1,192.65,20
OI0000031,ORD0000015,SKU00143,1,157.68,0
OI0000032,ORD0000015,SKU00138,2,70.9,0
OI0000033,ORD0000016,SKU00200,1,221.8,0
OI0000034,ORD0000016,SKU00201,1,327.03,0
OI0000035,ORD0000017,SKU00112,1,68.72,0
OI0000036,ORD0000017,SKU00027,1,174.78,0
OI0000037,ORD0000017,SKU00309,1,75.96,0
OI0000038,ORD0000018,SKU00132,1,444.86,0
OI0000039,ORD0000019,SKU00391,1,353.35,0
OI0000040,ORD0000019,SKU00249,1,143.08,0
OI0000041,ORD0000019,SKU00016,2,147.45,0
OI0000042,ORD0000020,SKU00381,1,135.31,0
OI0000043,ORD0000020,SKU00361,1,547.3,0
OI0000044,ORD0000020,SKU00273,1,265.82,0
OI0000045,ORD0000021,SKU00382,1,145.58,5
OI0000046,ORD0000022,SKU00144,2,630.63,0
OI0000047,ORD0000022,SKU00142,1,377.99,0
OI0000048,ORD0000023,SKU00069,1,109.0,0
OI0000049,ORD0000023,SKU00385,1,142.63,0
OI0000050,ORD0000024,SKU00167,2,29.82,15
OI0000051,ORD0000025,SKU00064,2,166.59,0
OI0000052,ORD0000026,SKU00322,1,335.74,0
OI0000053,ORD0000026,SKU00291,2,98.52,0
OI0000054,ORD0000027,SKU00316,2,147.52,5
OI0000055,ORD0000028,SKU00205,1,265.72,0
OI0000056,ORD0000028,SKU00019,1,121.87,15
OI0000057,ORD0000029,SKU00123,1,257.85,20
OI0000058,ORD0000029,SKU00105,1,86.45,0
OI0000059,ORD0000029,SKU00110,1,23.52,0
OI0000060,ORD0000030,SKU00210,1,136.71,0
OI0000061,ORD0000031,SKU00243,2,122.03,0
OI0000062,ORD0000031,SKU00325,1,11.83,0
OI0000063,ORD0000032,SKU00313,1,29.07,0
OI0000064,ORD0000033,SKU00108,1,210.44,0
OI0000065,ORD0000033,SKU00331,2,58.16,0
OI0000066,ORD0000034,SKU00151,1,138.23,0
OI0000067,ORD0000034,SKU00004,1,55.21,0
OI0000068,ORD0000035,SKU00044,1,89.08,0
OI0000069,ORD0000036,SKU00414,1,375.48,10
OI0000070,ORD0000036,SKU00273,2,265.82,0
OI0000071,ORD0000036,SKU00297,1,107.11,0
OI0000072,ORD0000037,SKU00361,1,547.3,0
OI0000073,ORD0000037,SKU00279,1,162.9,0
OI0000074,ORD0000038,SKU00275,1,230.46,0
OI0000075,ORD0000038,SKU00068,1,271.27,0
OI0000076,ORD0000039,SKU00376,1,133.11,0
OI0000077,ORD0000039,SKU00186,1,395.57,5
OI0000078,ORD0000039,SKU00011,1,73.17,0
OI0000079,ORD0000040,SKU00190,1,103.71,0
OI0000080,ORD0000041,SKU00019,1,121.87,0
OI0000081,ORD0000041,SKU00082,2,81.78,0
OI0000082,ORD0000042,SKU00027,1,174.78,25
OI0000083,ORD0000043,SKU00123,1,257.85,0
OI0000084,ORD0000043,SKU00081,1,175.33,5
OI0000085,ORD0000043,SKU00055,2,496.43,0
OI0000086,ORD0000044,SKU00105,2,86.45,0
OI0000087,ORD0000045,SKU00363,1,92.16,0
OI0000088,ORD0000045,SKU00166,3,67.06,0
OI0000089,ORD0000045,SKU00237,1,437.48,0
OI0000090,ORD0000045,SKU00143,1,157.68,20
OI0000091,ORD0000046,SKU00036,1,132.0,0
OI0000092,ORD0000046,SKU00317,1,119.81,0
OI0000093,ORD0000047,SKU00352,1,56.62,0
OI0000094,ORD0000047,SKU00210,1,136.71,0
OI0000095,ORD0000047,SKU00039,1,125.28,0
OI0000096,ORD0000048,SKU00084,1,579.85,0
OI0000097,ORD0000048,SKU00190,1,103.71,0
OI0000098,ORD0000049,SKU00067,1,343.87,10
OI0000099,ORD0000049,SKU00131,1,247.84,0
OI0000100,ORD0000050,SKU00162,1,127.07,0
OI0000101,ORD0000051,SKU00259,1,67.17,0
OI0000102,ORD0000051,SKU00089,2,170.56,0
OI0000103,ORD0000051,SKU00258,3,99.21,0
OI0000104,ORD0000051,SKU00365,1,114.83,25
OI0000105,ORD0000051,SKU00242,1,109.92,0
OI0000106,ORD0000052,SKU00257,1,277.55,0
OI0000107,ORD0000052,SKU00264,1,237.32,0
OI0000108,ORD0000053,SKU00279,1,162.9,0
OI0000109,ORD0000053,SKU00177,1,112.18,5
OI0000110,ORD0000053,SKU00062,1,175.95,0
OI0000111,ORD0000053,SKU00069,1,109.0,0
OI0000112,ORD0000054,SKU00382,1,145.58,0
OI0000113,ORD0000055,SKU00347,1,559.94,0
OI0000114,ORD0000055,SKU00319,2,103.27,0
OI0000115,ORD0000055,SKU00298,1,45.27,0
OI0000116,ORD0000056,SKU00193,1,112.0,0
OI0000117,ORD0000057,SKU00193,1,112.0,0
OI0000118,ORD0000057,SKU00412,1,536.15,0
OI0000119,ORD0000057,SKU00137,2,118.49,0
OI0000120,ORD0000057,SKU00352,1,56.62,10
OI0000121,ORD0000058,SKU00359,1,52.77,0
OI0000122,ORD0000059,SKU00125,3,110.59,0
OI0000123,ORD0000059,SKU00185,1,129.35,0
OI0000124,ORD0000060,SKU00248,1,68.98,0
OI0000125,ORD0000060,SKU00029,1,82.93,0
OI0000126,ORD0000060,SKU00346,1,153.65,0
OI0000127,ORD0000061,SKU00165,1,1147.57,0
OI0000128,ORD0000062,SKU00328,2,171.02,0
OI0000129,ORD0000063,SKU00367,1,140.76,0
OI0000130,ORD0000063,SKU00396,1,55.25,0
OI0000131,ORD0000063,SKU00143,1,157.68,0
OI0000132,ORD0000064,SKU00324,2,207.01,10
OI0000133,ORD0000064,SKU00311,1,75.18,0
OI0000134,ORD0000065,SKU00240,1,418.97,0
OI0000135,ORD0000065,SKU00119,3,120.46,0
OI0000136,ORD0000065,SKU00299,2,281.69,0
OI0000137,ORD0000066,SKU00203,1,106.37,25
OI0000138,ORD0000067,SKU00119,1,120.46,0
OI0000139,ORD0000067,SKU00189,1,81.27,0
OI0000140,ORD0000067,SKU00140,1,52.61,0
OI0000141,ORD0000068,SKU00412,1,536.15,0
OI0000142,ORD0000068,SKU00148,2,206.26,20
OI0000143,ORD0000068,SKU00346,1,153.65,0
OI0000144,ORD0000069,SKU00044,2,89.08,25
OI0000145,ORD0000069,SKU00148,2,206.26,0
OI0000146,ORD0000070,SKU00412,1,536.15,0
OI0000147,ORD0000070,SKU00248,1,68.98,0
OI0000148,ORD0000070,SKU00246,1,71.29,0
OI0000149,ORD0000071,SKU00323,1,56.2,0
OI0000150,ORD0000072,SKU00041,2,128.05,0
OI0000151,ORD0000072,SKU00236,1,206.45,0
OI0000152,ORD0000072,SKU00322,1,335.74,0
OI0000153,ORD0000073,SKU00314,1,319.97,0
OI0000154,ORD0000073,SKU00159,1,98.44,0
OI0000155,ORD0000074,SKU00082,1,81.78,0
OI0000156,ORD0000074,SKU00056,1,216.25,0
OI0000157,ORD0000074,SKU00017,1,291.24,0
OI0000158,ORD0000075,SKU00087,1,90.73,15
OI0000159,ORD0000075,SKU00082,1,81.78,0
OI0000160,ORD0000075,SKU00110,1,23.52,0
OI0000161,ORD0000076,SKU00318,1,98.22,0
OI0000162,ORD0000076,SKU00330,2,147.52,0
OI0000163,ORD0000077,SKU00039,2,125.28,0
OI0000164,ORD0000077,SKU00240,1,418.97,5
OI0000165,ORD0000078,SKU00119,1,120.46,0
OI0000166,ORD0000078,SKU00035,1,312.29,0
OI0000167,ORD0000078,SKU00080,1,58.53,0
OI0000168,ORD0000078,SKU00213,1,291.07,0
OI0000169,ORD0000078,SKU00234,1,128.65,0
OI0000170,ORD0000079,SKU00397,1,257.8,25
OI0000171,ORD0000079,SKU00249,1,143.08,25
OI0000172,ORD0000080,SKU00150,3,85.29,0
OI0000173,ORD0000080,SKU00132,2,444.86,0
OI0000174,ORD0000080,SKU00413,1,147.11,0
OI0000175,ORD0000080,SKU00336,1,118.99,0
OI0000176,ORD0000080,SKU00137,1,118.49,0
OI0000177,ORD0000081,SKU00044,1,89.08,5
OI0000178,ORD0000082,SKU00407,1,771.76,0
OI0000179,ORD0000083,SKU00252,2,616.17,20
OI0000180,ORD0000083,SKU00322,2,335.74,0
OI0000181,ORD0000083,SKU00321,2,35.85,0
OI0000182,ORD0000084,SKU00176,1,125.75,0
OI0000183,ORD0000085,SKU00083,1,84.73,10
OI0000184,ORD0000085,SKU00036,1,132.0,0
OI0000185,ORD0000085,SKU00382,1,145.58,0
OI0000186,ORD0000085,SKU00401,1,526.86,0
OI0000187,ORD0000085,SKU00299,1,281.69,20
OI0000188,ORD0000086,SKU00096,1,27.81,0
