order_id,customer_id,order_date,delivery_date,shipping_time_days,total_amount,Payment_type
ORD0000001,CUST00001,2025-08-15 02:21:01,2025-08-20 02:21:01,5,165.56,Financing
ORD0000002,CUST00001,2025-03-04 10:27:21,2025-03-11 10:27:21,7,796.18,Credit Card
ORD0000003,CUST00001,2026-01-13 14:36:01,2026-01-17 14:36:01,4,370.49,Gift Card
ORD0000004,CUST00001,2024-11-10 08:07:28,2024-11-13 08:07:28,3,660.47,Financing
ORD0000005,CUST00001,2024-05-13 16:16:05,2024-05-16 16:16:05,3,196.79,Apple Pay
ORD0000006,CUST00002,2024-04-12 04:31:40,2024-04-17 04:31:40,5,978.47,Financing
ORD0000007,CUST00002,2024-12-24 12:22:33,2024-12-31 12:22:33,7,128.05,Credit Card
ORD0000008,CUST00002,2025-11-29 09:08:08,2025-12-11 09:08:08,12,343.17,Credit Card
ORD0000009,CUST00003,2024-07-20 01:05:11,2024-07-24 01:05:11,4,1345.53,Gift Card
ORD0000010,CUST00003,2025-08-17 07:05:07,2025-08-27 07:05:07,10,248.1,PayPal
ORD0000011,CUST00003,2024-10-29 21:37:53,2024-11-03 21:37:53,5,200.51,Apple Pay
ORD0000012,CUST00003,2024-08-12 22:32:15,2024-08-18 22:32:15,6,91.23,Credit Card
ORD0000013,CUST00004,2025-11-06 03:58:37,2025-11-11 03:58:37,5,660.6,PayPal
ORD0000014,CUST00005,2025-03-18 14:50:32,2025-03-25 14:50:32,7,119.81,Apple Pay
ORD0000015,CUST00005,2025-06-11 22:29:59,2025-06-14 22:29:59,3,564.3,Apple Pay
ORD0000016,CUST00005,2025-10-09 13:01:33,2025-10-15 13:01:33,6,548.83,Financing
ORD0000017,CUST00005,2025-03-07 15:05:36,2025-03-13 15:05:36,6,319.46,Apple Pay
ORD0000018,CUST00005,2025-06-19 02:29:35,2025-06-25 02:29:35,6,444.86,Credit Card
ORD0000019,CUST00006,2024-04-16 22:41:15,2024-04-21 22:41:15,5,791.33,Gift Card
ORD0000020,CUST00006,2024-07-05 07:54:42,2024-07-17 07:54:42,12,948.43,Gift Card
ORD0000021,CUST00006,2024-06-06 21:04:42,2024-06-14 21:04:42,8,138.3,Apple Pay
ORD0000022,CUST00007,2026-02-24 08:43:39,2026-02-26 08:43:39,2,1639.25,Credit Card
ORD0000023,CUST00007,2025-09-28 03:58:14,2025-10-05 03:58:14,7,251.63,Credit Card
ORD0000024,CUST00007,2026-03-12 12:52:52,2026-03-19 12:52:52,7,50.69,PayPal
ORD0000025,CUST00008,2024-08-03 05:00:16,2024-08-09 05:00:16,6,333.18,Financing
ORD0000026,CUST00008,2025-06-07 04:58:17,2025-06-13 04:58:17,6,532.78,Gift Card
ORD0000027,CUST00008,2024-05-07 10:02:40,2024-05-19 10:02:40,12,280.29,PayPal
ORD0000028,CUST00008,2026-01-17 16:24:36,2026-01-23 16:24:36,6,369.31,Credit Card
ORD0000029,CUST00008,2025-01-21 05:06:58,2025-01-24 05:06:58,3,316.25,Apple Pay
ORD0000030,CUST00009,2025-07-05 21:11:48,2025-07-10 21:11:48,5,136.71,Gift Card
ORD0000031,CUST00009,2025-06-12 14:14:44,2025-06-22 14:14:44,10,255.89,PayPal
ORD0000032,CUST00009,2024-08-02 11:05:58,2024-08-07 11:05:58,5,29.07,Gift Card
ORD0000033,CUST00010,2025-03-09 06:14:11,2025-03-19 06:14:11,10,326.76,Credit Card
ORD0000034,CUST00010,2024-07-17 10:11:17,2024-07-22 10:11:17,5,193.44,Gift Card
ORD0000035,CUST00011,2024-05-11 22:10:40,2024-05-23 22:10:40,12,89.08,Credit Card
ORD0000036,CUST00011,2024-12-04 20:47:00,2024-12-12 20:47:00,8,976.68,Credit Card
ORD0000037,CUST00011,2025-01-17 16:01:41,2025-01-21 16:01:41,4,710.2,Credit Card
ORD0000038,CUST00012,2026-03-08 16:39:39,2026-03-14 16:39:39,6,501.73,Financing
ORD0000039,CUST00012,2026-04-04 04:27:09,2026-04-11 04:27:09,7,582.07,Financing
ORD0000040,CUST00013,2025-12-18 19:13:36,2025-12-24 19:13:36,6,103.71,Gift Card
ORD0000041,CUST00013,2026-02-06 23:05:25,2026-02-12 23:05:25,6,285.43,Credit Card
ORD0000042,CUST00014,2024-05-10 10:07:32,2024-05-15 10:07:32,5,131.08,Apple Pay
ORD0000043,CUST00014,2026-03-08 15:36:04,2026-03-14 15:36:04,6,1417.27,Credit Card
ORD0000044,CUST00014,2025-01-12 08:28:44,2025-01-16 08:28:44,4,172.9,Apple Pay
ORD0000045,CUST00015,2024-09-19 14:32:30,2024-09-26 14:32:30,7,856.96,Credit Card
ORD0000046,CUST00015,2025-09-21 05:04:33,2025-10-01 05:04:33,10,251.81,Gift Card
ORD0000047,CUST00015,2024-10-20 06:00:10,2024-10-27 06:00:10,7,318.61,Gift Card
ORD0000048,CUST00016,2025-09-09 10:58:16,2025-09-15 10:58:16,6,683.56,PayPal
ORD0000049,CUST00016,2024-06-28 06:38:36,2024-07-05 06:38:36,7,557.32,Gift Card
ORD0000050,CUST00016,2025-01-09 03:28:44,2025-01-15 03:28:44,6,127.07,Credit Card
ORD0000051,CUST00016,2025-12-06 08:51:07,2025-12-12 08:51:07,6,901.96,Apple Pay
ORD0000052,CUST00016,2025-06-18 07:24:59,2025-06-21 07:24:59,3,514.87,Financing
ORD0000053,CUST00017,2026-02-25 03:53:48,2026-03-01 03:53:48,4,554.42,PayPal
ORD0000054,CUST00018,2026-02-17 20:15:30,2026-02-21 20:15:30,4,145.58,Financing
ORD0000055,CUST00019,2025-02-19 01:51:17,2025-02-25 01:51:17,6,811.75,Credit Card
ORD0000056,CUST00019,2025-08-04 12:24:01,2025-08-10 12:24:01,6,112.0,PayPal
ORD0000057,CUST00020,2025-11-12 13:42:24,2025-11-14 13:42:24,2,936.09,Apple Pay
ORD0000058,CUST00021,2024-08-07 11:30:51,2024-08-12 11:30:51,5,52.77,Gift Card
ORD0000059,CUST00021,2026-03-29 11:55:11,2026-04-04 11:55:11,6,461.12,Gift Card
ORD0000060,CUST00022,2026-04-01 16:40:11,2026-04-06 16:40:11,5,305.56,PayPal
ORD0000061,CUST00022,2024-10-10 07:32:06,2024-10-15 07:32:06,5,1147.57,Financing
ORD0000062,CUST00023,2026-02-09 23:50:59,2026-02-16 23:50:59,7,342.04,Financing
ORD0000063,CUST00023,2024-08-13 15:41:01,2024-08-17 15:41:01,4,353.69,PayPal
ORD0000064,CUST00023,2025-12-21 17:24:22,2025-12-28 17:24:22,7,447.8,PayPal
ORD0000065,CUST00023,2025-12-30 04:18:42,2026-01-05 04:18:42,6,1343.73,Credit Card
ORD0000066,CUST00023,2024-08-24 22:55:36,2024-08-30 22:55:36,6,79.78,Gift Card
