sku_id,embedding_vector,last_updated
SKU00001,"0.870310,0.612525,0.879028,0.591752,0.000000,-0.251417,0.198300,0.227792,0.048141,-0.266925,-0.080136,-0.061737,-0.068376,-0.044025,-0.036209,0.008622,-0.092587,-0.008564,0.019065,0.005996,0.095326,0.045699,0.268224,-0.054634,0.073397,0.055686,0.187674,-0.091766,-0.073929,0.000802,0.039438,0.027033,0.137615,-0.038829,-0.243218,-0.075007,0.071144,-0.060108,0.052177,0.144170,0.086157,-0.154944,-0.036337,0.010877,0.105356,0.154700,-0.090999,-0.039139,0.018625,0.126645",2026-03-26 21:57:15.978541
SKU00002,"0.814878,0.988685,0.882011,0.531404,0.000000,-0.022670,0.062437,-0.047231,-0.097308,0.063880,-0.199654,-0.042931,-0.181494,-0.051055,0.164755,-0.032551,-0.012909,-0.071222,0.088368,0.021989,-0.057132,-0.183034,-0.165682,0.020249,0.046975,0.117042,-0.079955,-0.116717,-0.068293,-0.014641,-0.091836,-0.050706,0.049669,-0.047971,0.035093,0.112312,0.077418,-0.028698,-0.116902,-0.044362,-0.013798,0.048456,-0.018666,0.076748,0.018578,-0.162373,-0.051347,0.281960,-0.049668,0.048601",2026-04-04 21:57:15.978684
SKU00003,"0.422063,0.667316,0.598444,0.511823,0.000000,-0.420652,0.089372,0.057343,-0.174572,-0.068965,-0.048658,-0.072287,0.047377,-0.044646,-0.032581,-0.076617,-0.067473,-0.050343,-0.178606,-0.015100,-0.195615,-0.120363,0.151829,0.141383,0.176666,-0.044824,0.015273,-0.178267,0.063427,-0.052727,-0.143366,0.072763,0.095895,0.072576,-0.018715,-0.041289,-0.006110,0.106874,-0.060446,-0.019532,-0.199476,-0.066747,-0.047659,0.144390,-0.055654,-0.239698,-0.012448,0.090054,0.054443,-0.039781",2026-03-22 21:57:15.978751
SKU00004,"0.876209,0.559029,0.732988,0.402909,0.000000,-0.071191,-0.184026,-0.025183,-0.190733,-0.042317,-0.242023,-0.056268,0.178804,0.119228,-0.025421,-0.005408,0.103260,-0.060644,0.216345,0.313303,0.105763,-0.028096,0.176692,0.128042,0.164745,0.012027,0.038007,0.119878,-0.037447,-0.058120,0.021767,0.059128,-0.075519,0.087686,-0.006355,-0.187374,-0.036558,-0.117722,-0.006137,0.074180,-0.114281,-0.036743,0.069259,0.015055,-0.121770,0.001076,-0.147352,-0.069146,0.179132,-0.136362",2026-03-30 21:57:15.978804
SKU00005,"0.717016,0.603526,0.786350,0.465024,0.000000,0.036667,0.083216,-0.006310,0.162784,-0.141393,-0.051832,0.083866,0.082998,0.063995,-0.006787,-0.058139,-0.202386,0.005938,0.105052,-0.078875,0.008861,-0.023255,-0.145887,-0.111864,0.013389,0.119688,-0.135985,-0.138745,-0.176396,0.064641,0.055024,0.088766,-0.020780,-0.055901,-0.028257,0.029315,0.106422,-0.066431,0.029334,-0.055034,0.117935,-0.074503,0.253568,0.031895,0.105900,-0.014756,-0.006339,-0.109431,-0.093803,-0.118912",2026-03-30 21:57:15.978852
SKU00006,"0.448255,0.767912,0.615293,0.413677,0.000000,0.555527,0.021828,0.165725,0.013213,0.051665,0.074348,0.039742,-0.195028,0.088735,-0.048724,-0.337097,-0.018836,0.069435,-0.071761,-0.063533,0.059503,-0.024668,-0.145600,-0.086430,-0.027024,0.031587,0.003277,0.023208,0.006261,0.020367,-0.119240,0.128994,-0.044249,0.044004,-0.149368,0.076365,0.031414,-0.060290,0.228535,0.057755,0.026141,0.031672,0.030601,-0.090236,-0.100786,0.005533,-0.150095,-0.193817,-0.098445,0.013896",2026-04-02 21:57:15.978904
SKU00007,"0.386647,0.662575,0.612609,0.433781,0.000000,0.155806,-0.084827,-0.121775,-0.055278,-0.056223,0.181935,0.046627,0.167695,-0.195756,-0.003136,0.069557,-0.116793,0.118296,0.013594,0.046152,0.041082,0.024222,-0.154507,0.178851,-0.015227,-0.085961,-0.009285,0.055597,-0.022347,-0.217091,0.040614,-0.114999,-0.013400,0.075141,0.104593,-0.021207,0.072170,-0.139591,-0.063995,0.173218,-0.030305,0.004746,-0.209196,0.058088,0.129867,-0.033718,0.160502,-0.000026,-0.053839,0.064442",2026-04-03 21:57:15.978952
SKU00008,"0.824482,0.928256,0.781673,0.568603,0.000000,0.026819,0.037357,-0.038106,-0.047934,-0.070787,-0.029749,-0.043115,0.049017,-0.134766,0.027808,-0.079564,0.009482,-0.136389,0.023619,-0.012125,0.248185,-0.179692,0.071684,0.044330,-0.095841,0.004056,0.064298,-0.238347,0.050974,-0.093407,-0.100002,-0.158740,0.057526,0.008170,0.008287,-0.297715,-0.157526,0.045760,0.115050,-0.106877,0.128768,-0.109349,0.019276,0.171276,0.007152,0.025977,0.032992,0.037427,-0.091948,-0.060041",2026-04-07 21:57:15.978998
SKU00009,"0.858209,0.755681,0.504877,0.433376,0.000000,0.064231,0.041826,0.053320,0.008211,-0.027944,-0.017492,-0.229861,0.016517,0.096061,0.086473,0.188798,0.042028,-0.041316,-0.019493,-0.062216,0.042825,-0.089319,0.031836,-0.232431,-0.064750,-0.054390,0.046681,0.101926,0.053700,0.044935,-0.097884,0.218951,-0.027296,-0.067434,-0.107109,-0.029231,-0.104596,0.061441,0.081652,0.135824,0.097867,0.023171,-0.000801,-0.095614,0.067144,-0.074477,-0.127746,0.012557,0.235789,0.141538",2026-03-13 21:57:15.979044
SKU00010,"0.648257,0.925120,0.926262,0.564665,0.000000,-0.043382,0.094796,0.070870,-0.101866,-0.044932,0.057498,0.131476,-0.028031,0.146186,-0.009267,0.008506,-0.077983,-0.062306,0.034878,0.094951,0.005692,-0.040869,0.019228,0.153476,-0.123286,-0.078674,0.176481,-0.141120,0.065489,-0.029757,-0.004848,0.023633,-0.078683,0.013216,-0.018885,0.027863,-0.014151,-0.057818,-0.013561,0.003535,0.102290,-0.122667,-0.051389,0.099281,-0.149780,0.141369,-0.020889,0.051547,0.012399,-0.063911",2026-03-15 21:57:15.979088
