sku_id,date,avg_rating,return_rate,sentiment_score,delivery_score,quality_score,Value_score
SKU00001,2024-01-07,5.0,0.223,0.967,0.881,0.823,0.631
SKU00001,2024-01-14,5.0,0.244,1.0,0.929,0.87,0.678
SKU00001,2024-01-21,5.0,0.232,1.0,0.901,0.842,0.65
SKU00001,2024-01-28,4.8,0.204,0.885,0.84,0.781,0.589
SKU00001,2024-02-04,4.75,0.2,0.864,0.829,0.771,0.579
SKU00001,2024-02-11,4.95,0.217,0.943,0.869,0.811,0.619
SKU00001,2024-02-18,5.0,0.236,1.0,0.91,0.852,0.66
SKU00001,2024-02-25,5.0,0.229,0.995,0.895,0.837,0.645
SKU00001,2024-03-03,4.91,0.214,0.927,0.861,0.803,0.611
SKU00001,2024-03-10,4.85,0.209,0.906,0.851,0.792,0.6
SKU00001,2024-03-17,4.79,0.204,0.882,0.839,0.78,0.588
SKU00001,2024-03-24,4.86,0.21,0.91,0.853,0.794,0.602
SKU00001,2024-03-31,5.0,0.225,0.979,0.887,0.829,0.637
SKU00001,2024-04-07,4.77,0.202,0.875,0.835,0.776,0.584
SKU00001,2024-04-14,4.88,0.212,0.917,0.856,0.797,0.605
SKU00001,2024-04-21,4.78,0.203,0.876,0.836,0.777,0.585
SKU00001,2024-04-28,4.9,0.214,0.926,0.861,0.802,0.61
SKU00001,2024-05-05,4.77,0.202,0.872,0.834,0.775,0.583
SKU00001,2024-05-12,4.83,0.207,0.896,0.846,0.787,0.595
SKU00001,2024-05-19,5.0,0.222,0.964,0.88,0.821,0.629
SKU00001,2024-05-26,4.96,0.219,0.951,0.873,0.814,0.622
SKU00001,2024-06-02,4.78,0.203,0.877,0.836,0.777,0.585
SKU00001,2024-06-09,5.0,0.223,0.966,0.881,0.822,0.63
SKU00001,2024-06-16,5.0,0.226,0.98,0.888,0.829,0.637
SKU00001,2024-06-23,5.0,0.227,0.986,0.891,0.832,0.64
SKU00001,2024-06-30,4.84,0.208,0.901,0.848,0.79,0.598
SKU00001,2024-07-07,4.8,0.204,0.885,0.84,0.781,0.589
SKU00001,2024-07-14,4.89,0.212,0.92,0.857,0.799,0.607
SKU00001,2024-07-21,4.94,0.217,0.939,0.867,0.809,0.617
SKU00001,2024-07-28,5.0,0.241,1.0,0.922,0.863,0.671
SKU00001,2024-08-04,5.0,0.234,1.0,0.907,0.848,0.656
SKU00001,2024-08-11,4.85,0.209,0.904,0.85,0.791,0.599
SKU00001,2024-08-18,5.0,0.228,0.989,0.892,0.834,0.642
SKU00001,2024-08-25,5.0,0.224,0.971,0.883,0.824,0.633
SKU00001,2024-09-01,5.0,0.261,1.0,0.967,0.908,0.716
SKU00001,2024-09-08,5.0,0.246,1.0,0.934,0.875,0.683
SKU00001,2024-09-15,4.78,0.203,0.879,0.837,0.778,0.586
SKU00001,2024-09-22,5.0,0.223,0.969,0.882,0.823,0.631
SKU00001,2024-09-29,4.89,0.212,0.921,0.858,0.799,0.608
SKU00001,2024-10-06,5.0,0.227,0.985,0.89,0.832,0.64
SKU00001,2024-10-13,4.93,0.216,0.937,0.866,0.807,0.615
SKU00001,2024-10-20,5.0,0.234,1.0,0.906,0.847,0.656
SKU00001,2024-10-27,4.78,0.202,0.876,0.835,0.777,0.585
SKU00001,2024-11-03,4.84,0.208,0.9,0.848,0.789,0.597
SKU00001,2024-11-10,4.95,0.218,0.944,0.869,0.811,0.619
SKU00001,2024-11-17,5.0,0.223,0.97,0.883,0.824,0.632
SKU00001,2024-11-24,4.81,0.206,0.89,0.843,0.784,0.592
SKU00001,2024-12-01,4.75,0.2,0.864,0.83,0.771,0.579
SKU00001,2024-12-08,5.0,0.243,1.0,0.927,0.868,0.676
SKU00001,2024-12-15,4.95,0.218,0.945,0.87,0.812,0.62
SKU00001,2024-12-22,4.95,0.217,0.944,0.869,0.811,0.619
SKU00001,2024-12-29,5.0,0.225,0.977,0.886,0.827,0.635
SKU00001,2025-01-05,4.86,0.21,0.909,0.852,0.794,0.602
SKU00001,2025-01-12,5.0,0.24,1.0,0.92,0.862,0.67
SKU00002,2024-01-07,5.0,0.319,0.936,0.912,0.902,0.83
SKU00002,2024-01-14,4.88,0.286,0.825,0.857,0.846,0.774
SKU00002,2024-01-21,4.79,0.275,0.789,0.839,0.828,0.756
SKU00002,2024-01-28,4.78,0.273,0.782,0.835,0.825,0.753
SKU00002,2024-02-04,5.0,0.347,1.0,0.958,0.948,0.876
SKU00002,2024-02-11,5.0,0.305,0.889,0.888,0.878,0.806
SKU00002,2024-02-18,5.0,0.316,0.927,0.907,0.897,0.825
SKU00002,2024-02-25,4.88,0.286,0.824,0.856,0.846,0.774
SKU00002,2024-03-03,4.96,0.295,0.856,0.872,0.862,0.79
SKU00002,2024-03-10,4.93,0.292,0.846,0.867,0.857,0.785
SKU00002,2024-03-17,5.0,0.3,0.872,0.88,0.87,0.798
