customer_id,embedding_vector,last_updated
CUST00001,"0.081138,0.589813,1.200000,-0.315688,0.004289,0.230000,-0.123344,0.027843,-0.150197,0.165954,0.115658,0.208293,-0.052175,-0.050425,0.133099,0.104755,0.061124,0.073676,0.023109,-0.179001,0.015782,-0.119985,0.093986,-0.133377,-0.008683,-0.018104,-0.091867,0.055957,-0.100757,0.089444,-0.052358,0.007410,-0.048918,0.010946,-0.136561,0.058895,-0.016532,-0.069253,-0.156479,-0.017741,-0.032100,0.021208,-0.042315,-0.184031,0.033915,-0.129607,-0.051434,0.103362,0.161783,-0.166676",2026-03-01 21:57:16.004195
CUST00002,"0.098721,0.515967,0.600000,-0.359017,0.519773,0.346000,0.159484,0.129236,0.068522,0.027431,0.052505,-0.043742,-0.174094,0.168558,-0.014463,-0.058233,-0.085766,-0.044324,0.007354,-0.016526,-0.154978,-0.049219,0.019384,0.123163,0.003385,-0.045718,-0.019097,-0.013224,-0.016560,-0.012175,0.016662,0.111968,-0.006476,0.042200,-0.033299,0.076068,0.141456,0.042471,-0.003044,0.051341,-0.080580,0.002211,-0.040040,0.144426,0.014681,-0.139288,0.066459,0.031969,0.028835,0.061739",2026-03-21 21:57:16.004337
CUST00003,"0.117465,0.620436,0.600000,-0.680945,0.162647,0.374000,0.066463,-0.119010,0.030960,-0.000402,0.196952,0.035118,-0.138265,-0.000906,-0.092074,0.149201,-0.069739,0.153293,0.041288,0.085051,-0.155180,-0.087158,0.071941,-0.160754,0.109148,-0.032996,-0.096792,-0.090646,0.041952,-0.114821,-0.151464,0.042060,-0.037831,0.173704,-0.065448,0.008223,0.034631,-0.047288,-0.023700,0.050926,0.104196,0.052812,-0.305672,-0.030913,0.099813,-0.041727,-0.098729,-0.024458,0.162821,0.092745",2026-03-21 21:57:16.004422
CUST00004,"0.116823,0.312701,0.000000,0.068901,0.551521,0.046000,0.011458,0.120833,0.005696,0.036580,-0.136449,0.072401,0.023717,-0.024380,0.082821,-0.057768,0.040175,0.095493,0.043457,-0.085686,-0.190250,-0.172686,0.062895,0.037966,-0.035213,0.204224,-0.005311,-0.103165,0.125062,-0.008499,0.068343,0.065345,-0.133745,0.248125,-0.071422,-0.124902,-0.042690,0.193929,-0.188960,-0.007881,-0.143065,-0.069273,-0.046341,0.004157,-0.258296,-0.093653,0.055645,-0.081760,-0.036834,-0.200429",2026-04-03 21:57:16.004497
CUST00005,"0.074183,0.311953,0.900000,-0.440791,0.447424,0.434000,0.037456,0.042786,-0.129540,0.041455,-0.074250,-0.059339,-0.028591,0.079639,-0.131918,0.071362,0.106380,0.195955,0.076708,0.029696,-0.157898,-0.088405,0.135693,0.101910,0.048282,-0.008171,0.062138,-0.089467,0.015855,0.138236,-0.027325,0.071332,0.057694,-0.015746,-0.136920,0.152972,0.082148,0.050343,0.124537,0.012154,-0.168897,0.079590,0.131428,-0.035019,-0.044523,0.119366,0.102790,0.068629,0.052376,-0.010554",2026-04-05 21:57:16.004569
CUST00006,"0.064091,0.332245,0.600000,-0.610566,-0.142070,0.472000,0.063813,-0.085286,-0.010928,-0.008776,-0.047446,0.033440,0.011771,-0.084739,-0.072822,0.206700,0.087333,0.033520,0.072418,-0.012223,0.005698,0.021613,0.052651,-0.079231,0.100106,0.076553,0.069154,-0.062352,-0.211411,-0.118466,0.071170,0.119511,-0.037215,-0.013828,0.095179,0.001646,0.021420,-0.070314,-0.041688,-0.131256,0.113357,-0.197037,0.011492,0.050645,-0.042112,-0.025145,0.022826,-0.096056,0.058814,0.151953",2026-03-13 21:57:16.004642
CUST00007,"0.032146,0.573064,1.200000,0.491793,-0.092298,0.168000,0.022714,-0.023559,0.149359,0.000168,0.048817,0.079937,-0.032020,-0.097562,0.079825,0.185646,0.020691,0.143000,0.105134,-0.212755,-0.224933,0.058885,0.197899,0.046022,-0.104314,0.077274,0.016509,0.050444,0.007871,-0.087780,0.008044,0.153491,-0.087283,-0.067723,0.194971,0.014543,-0.266644,0.066875,-0.107283,0.065497,0.056526,0.117984,-0.031888,-0.140729,0.099639,0.054442,-0.062166,0.072579,0.050827,0.035495",2026-03-15 21:57:16.004711
CUST00008,"0.105285,0.627288,0.900000,-0.045813,-0.036185,0.244000,-0.075110,0.062202,-0.130765,-0.068531,-0.060738,0.179039,-0.073741,0.032865,-0.073276,0.060010,0.035380,0.084376,0.038135,-0.022103,0.059445,0.118250,0.165421,-0.024168,0.001900,0.019975,-0.299515,-0.049828,-0.009070,-0.050085,-0.019955,-0.111510,-0.004063,-0.029405,-0.015749,0.149436,-0.106341,-0.040825,-0.063821,0.023056,0.007780,0.137234,-0.043624,0.069892,-0.012083,0.003238,0.162248,-0.164642,0.061872,0.141718",2026-03-01 21:57:16.004777
CUST00009,"0.067215,0.674588,1.200000,-0.383098,0.022027,0.172000,0.027902,-0.014247,-0.047846,-0.071559,0.077030,-0.148205,-0.108207,0.026098,0.018416,-0.250750,0.075479,0.027127,-0.080348,0.048417,-0.013303,0.055216,-0.180089,-0.072618,0.097664,0.126386,-0.010838,-0.024975,0.005398,-0.059969,-0.009341,0.090507,-0.003407,0.106076,-0.055744,-0.022821,0.104462,0.048650,-0.041717,-0.123907,0.260557,-0.094768,0.110475,0.078740,-0.038997,0.165521,-0.081832,0.118921,0.163204,0.119311",2026-03-04 21:57:16.004844
CUST00010,"0.047951,0.715119,1.200000,-0.032209,0.019082,0.128000,-0.025187,-0.193224,0.022795,0.159580,-0.050458,-0.223418,0.016710,0.038050,-0.072064,0.067426,0.005688,-0.053708,-0.095389,0.080182,-0.075448,0.027935,-0.017857,-0.070139,-0.031651,0.001672,-0.030413,-0.064997,0.038141,-0.010788,-0.062938,-0.004978,-0.093987,0.156492,-0.102796,0.058425,0.151028,-0.055685,0.025777,-0.018237,0.096083,-0.043455,0.021283,0.008269,0.029380,0.014944,-0.037040,0.063102,0.001826,0.024727",2026-03-16 21:57:16.004911
