customer_id,embedding_vector,last_updated
CUST00001,"0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400587,0.364419,0.000000,0.368457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.485098,0.000000,0.375406,0.000000,0.000000,0.000000,0.441268,0.000000,0.000000,0.000000",2026-04-10 10:07:18.874580
CUST00002,"0.000000,0.000000,0.336244,0.000000,0.000000,0.297284,0.298433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.396363,0.000000,0.293337,0.000000,0.000000,0.000000,0.000000,0.349129,0.000000,0.000000,0.000000,0.000000,0.378333,0.287895,0.000000,0.000000,0.000000,0.000000,0.344149,0.000000,0.000000,0.000000",2026-04-10 10:07:18.875922
CUST00003,"0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.387377,0.350832,0.319156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433368,0.000000,0.000000,0.000000,0.000000,0.000000,0.316272,0.000000,0.386460,0.000000,0.000000,0.433368",2026-04-10 10:07:18.875922
CUST00004,"0.000000,0.482951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.451284,0.000000,0.371809,0.000000,0.000000,0.000000,0.000000,0.383743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.376624,0.000000,0.000000,0.368449,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.875922
CUST00005,"0.396207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307584,0.000000,0.000000,0.313978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.404955,0.308153,0.313385,0.000000,0.000000,0.000000,0.368366,0.000000,0.396207,0.000000",2026-04-10 10:07:18.877368
CUST00006,"0.330322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.347412,0.307839,0.278798,0.000000,0.000000,0.000000,0.000000,0.264779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261272,0.000000,0.251334,0.268393,0.307110,0.347412,0.330322,0.000000",2026-04-10 10:07:18.877368
CUST00007,"0.000000,0.453220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.364263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.414690,0.000000,0.000000,0.491107,0.000000,0.000000,0.359439,0.000000,0.345766,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.877368
CUST00008,"0.000000,0.000000,0.000000,0.000000,0.353178,0.000000,0.000000,0.000000,0.000000,0.000000,0.297163,0.351564,0.000000,0.000000,0.310231,0.000000,0.000000,0.400048,0.000000,0.000000,0.365035,0.000000,0.000000,0.000000,0.418260,0.000000,0.000000,0.000000,0.000000,0.000000,0.314466,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.877368
CUST00009,"0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.384614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.506007,0.000000,0.000000,0.000000,0.000000,0.000000,0.369285,0.000000,0.451237,0.000000,0.000000,0.506007",2026-04-10 10:07:18.877368
CUST00010,"0.388630,0.000000,0.353022,0.000000,0.354643,0.312118,0.000000,0.000000,0.000000,0.000000,0.298396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.401708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315770,0.000000,0.000000,0.388630,0.000000",2026-04-10 10:07:18.877368
CUST00011,"0.360444,0.000000,0.000000,0.323011,0.000000,0.000000,0.000000,0.000000,0.000000,0.304222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323011,0.000000,0.000000,0.000000,0.375793,0.000000,0.000000,0.000000,0.285098,0.000000,0.274254,0.000000,0.000000,0.000000,0.360444,0.375793",2026-04-10 10:07:18.877946
CUST00012,"0.369491,0.000000,0.000000,0.331118,0.000000,0.000000,0.297894,0.000000,0.000000,0.000000,0.283701,0.000000,0.000000,0.000000,0.000000,0.000000,0.362743,0.000000,0.000000,0.331118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.292254,0.348498,0.000000,0.000000,0.000000,0.000000,0.369491,0.000000",2026-04-10 10:07:18.877946
CUST00013,"0.000000,0.366206,0.000000,0.329051,0.000000,0.000000,0.296035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.294328,0.000000,0.360479,0.000000,0.000000,0.329051,0.000000,0.000000,0.000000,0.000000,0.000000,0.375292,0.000000,0.290430,0.346323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.877946
CUST00014,"0.000000,0.000000,0.000000,0.000000,0.351760,0.000000,0.000000,0.000000,0.359235,0.325344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398442,0.000000,0.000000,0.363569,0.000000,0.403051,0.000000,0.000000,0.000000,0.299803,0.000000,0.000000,0.000000,0.313203,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.877946
CUST00015,"0.000000,0.000000,0.000000,0.360106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308538,0.000000,0.311956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360106,0.379008,0.366696,0.420166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305750,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.877946
CUST00016,"0.000000,0.000000,0.000000,0.329089,0.335111,0.000000,0.296069,0.386227,0.000000,0.000000,0.281962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.298380,0.341422,0.386227,0.000000,0.000000",2026-04-10 10:07:18.877946
CUST00017,"0.000000,0.000000,0.367474,0.000000,0.000000,0.324895,0.326151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.418153,0.000000,0.000000,0.000000,0.000000,0.000000,0.437189,0.000000,0.000000,0.000000,0.381555,0.000000,0.000000,0.376113,0.000000,0.000000,0.000000",2026-04-10 10:07:18.877946
CUST00018,"0.000000,0.449237,0.000000,0.403658,0.000000,0.361757,0.000000,0.000000,0.000000,0.000000,0.345853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.403658,0.000000,0.000000,0.470981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.877946
CUST00019,"0.376702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289237,0.342187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343758,0.000000,0.392742,0.000000,0.000000,0.000000,0.297957,0.000000,0.000000,0.000000,0.000000,0.000000,0.376702,0.392742",2026-04-10 10:07:18.877946
CUST00020,"0.000000,0.000000,0.282777,0.000000,0.284076,0.000000,0.000000,0.327406,0.000000,0.000000,0.000000,0.000000,0.241669,0.000000,0.249532,0.000000,0.000000,0.321775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242116,0.000000,0.293613,0.000000,0.505876,0.000000,0.327406,0.000000,0.000000",2026-04-10 10:07:18.877946
CUST00021,"0.000000,0.426033,0.000000,0.382809,0.000000,0.343072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342413,0.338517,0.419370,0.000000,0.000000,0.382809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.878946
CUST00022,"0.000000,0.000000,0.000000,0.000000,0.321055,0.000000,0.283650,0.370026,0.000000,0.296945,0.270135,0.000000,0.000000,0.000000,0.282015,0.000000,0.000000,0.000000,0.000000,0.000000,0.331834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331834,0.000000,0.285864,0.000000,0.370026,0.000000,0.000000",2026-04-10 10:07:18.878946
CUST00023,"0.000000,0.000000,0.368779,0.363814,0.000000,0.326049,0.327309,0.000000,0.000000,0.000000,0.311714,0.000000,0.000000,0.434715,0.000000,0.000000,0.000000,0.000000,0.000000,0.363814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.878946
CUST00024,"0.000000,0.422489,0.384805,0.379625,0.000000,0.000000,0.341534,0.000000,0.394787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335702,0.000000,0.000000,0.000000,0.379625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.878946
CUST00025,"0.423527,0.000000,0.000000,0.000000,0.000000,0.340144,0.000000,0.000000,0.000000,0.000000,0.325190,0.384721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334994,0.399464,0.000000,0.000000,0.000000,0.000000,0.423527,0.000000",2026-04-10 10:07:18.878946
CUST00026,"0.000000,0.000000,0.000000,0.296615,0.000000,0.265825,0.000000,0.000000,0.000000,0.279361,0.000000,0.300663,0.256954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.296615,0.000000,0.000000,0.346085,0.345083,0.000000,0.000000,0.257430,0.000000,0.000000,0.000000,0.000000,0.307731,0.000000,0.000000,0.345083",2026-04-10 10:07:18.878946
CUST00027,"0.000000,0.000000,0.000000,0.327327,0.000000,0.000000,0.294483,0.000000,0.340400,0.000000,0.000000,0.000000,0.283559,0.000000,0.292785,0.000000,0.358589,0.000000,0.377551,0.327327,0.000000,0.000000,0.381919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.878946
CUST00028,"0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398963,0.000000,0.000000,0.000000,0.000000,0.449511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.517421,0.000000,0.000000,0.000000,0.000000,0.391409,0.466736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.878946
CUST00029,"0.000000,0.000000,0.000000,0.000000,0.000000,0.349081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348411,0.344447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.444252,0.000000,0.000000,0.409959,0.330719,0.000000,0.404112,0.000000,0.000000,0.000000",2026-04-10 10:07:18.878946
CUST00030,"0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.365454,0.330976,0.000000,0.000000,0.000000,0.000000,0.000000,0.310758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.408841,0.000000,0.000000,0.304993,0.310171,0.369863,0.000000,0.000000,0.000000,0.000000,0.000000,0.408841",2026-04-10 10:07:18.878946
CUST00031,"0.000000,0.000000,0.000000,0.364132,0.000000,0.326334,0.327596,0.000000,0.000000,0.000000,0.000000,0.369101,0.000000,0.435095,0.000000,0.000000,0.000000,0.000000,0.000000,0.364132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.316028,0.000000,0.000000,0.309168,0.000000,0.000000,0.000000,0.000000,0.000000",2026-04-10 10:07:18.878946
